Servo Position Log - Started at: 2025-05-11 16:12:24
================================================================================
[2025-05-11 16:12:27] shoulder - Angle:  90.00° | Value:   0.00 | Pulse Width: 1500.00µs
[2025-05-11 16:12:27] elbow    - Angle:  90.00° | Value:   0.00 | Pulse Width: 1500.00µs
[2025-05-11 16:12:27] wrist    - Angle:  90.00° | Value:   0.00 | Pulse Width: 1450.00µs
[2025-05-11 16:12:27] claw     - Speed:   0.00 | Value:   0.00 | Pulse Width: 1500.00µs
[2025-05-11 16:12:28] shoulder - Angle:  91.00° | Value:   0.01 | Pulse Width: 1506.67µs
[2025-05-11 16:12:28] shoulder - Angle:  92.00° | Value:   0.02 | Pulse Width: 1513.33µs
[2025-05-11 16:12:28] shoulder - Angle:  93.00° | Value:   0.03 | Pulse Width: 1520.00µs
[2025-05-11 16:12:28] shoulder - Angle:  95.00° | Value:   0.06 | Pulse Width: 1533.33µs
[2025-05-11 16:12:28] shoulder - Angle:  97.00° | Value:   0.08 | Pulse Width: 1546.67µs
[2025-05-11 16:12:28] shoulder - Angle: 101.00° | Value:   0.12 | Pulse Width: 1573.33µs
[2025-05-11 16:12:28] shoulder - Angle: 103.00° | Value:   0.14 | Pulse Width: 1586.67µs
[2025-05-11 16:12:28] shoulder - Angle: 107.00° | Value:   0.19 | Pulse Width: 1613.33µs
[2025-05-11 16:12:28] shoulder - Angle: 109.00° | Value:   0.21 | Pulse Width: 1626.67µs
[2025-05-11 16:12:28] shoulder - Angle: 111.00° | Value:   0.23 | Pulse Width: 1640.00µs
[2025-05-11 16:12:28] shoulder - Angle: 114.00° | Value:   0.27 | Pulse Width: 1660.00µs
[2025-05-11 16:12:28] shoulder - Angle: 118.00° | Value:   0.31 | Pulse Width: 1686.67µs
[2025-05-11 16:12:28] shoulder - Angle: 122.00° | Value:   0.36 | Pulse Width: 1713.33µs
[2025-05-11 16:12:28] shoulder - Angle: 126.00° | Value:   0.40 | Pulse Width: 1740.00µs
[2025-05-11 16:12:28] shoulder - Angle: 127.00° | Value:   0.41 | Pulse Width: 1746.67µs
[2025-05-11 16:12:28] shoulder - Angle: 128.00° | Value:   0.42 | Pulse Width: 1753.33µs
[2025-05-11 16:12:28] shoulder - Angle: 130.00° | Value:   0.44 | Pulse Width: 1766.67µs
[2025-05-11 16:12:28] shoulder - Angle: 134.00° | Value:   0.49 | Pulse Width: 1793.33µs
[2025-05-11 16:12:28] shoulder - Angle: 135.00° | Value:   0.50 | Pulse Width: 1800.00µs
[2025-05-11 16:12:28] shoulder - Angle: 139.00° | Value:   0.54 | Pulse Width: 1826.67µs
[2025-05-11 16:12:28] shoulder - Angle: 142.00° | Value:   0.58 | Pulse Width: 1846.67µs
[2025-05-11 16:12:28] shoulder - Angle: 145.00° | Value:   0.61 | Pulse Width: 1866.67µs
[2025-05-11 16:12:28] shoulder - Angle: 147.00° | Value:   0.63 | Pulse Width: 1880.00µs
[2025-05-11 16:12:28] shoulder - Angle: 148.00° | Value:   0.64 | Pulse Width: 1886.67µs
[2025-05-11 16:12:28] shoulder - Angle: 150.00° | Value:   0.67 | Pulse Width: 1900.00µs
[2025-05-11 16:12:28] shoulder - Angle: 151.00° | Value:   0.68 | Pulse Width: 1906.67µs
[2025-05-11 16:12:28] shoulder - Angle: 152.00° | Value:   0.69 | Pulse Width: 1913.33µs
[2025-05-11 16:12:28] shoulder - Angle: 154.00° | Value:   0.71 | Pulse Width: 1926.67µs
[2025-05-11 16:12:28] shoulder - Angle: 155.00° | Value:   0.72 | Pulse Width: 1933.33µs
[2025-05-11 16:12:28] shoulder - Angle: 156.00° | Value:   0.73 | Pulse Width: 1940.00µs
[2025-05-11 16:12:29] shoulder - Angle: 155.00° | Value:   0.72 | Pulse Width: 1933.33µs
[2025-05-11 16:12:29] shoulder - Angle: 154.00° | Value:   0.71 | Pulse Width: 1926.67µs
[2025-05-11 16:12:29] shoulder - Angle: 152.00° | Value:   0.69 | Pulse Width: 1913.33µs
[2025-05-11 16:12:29] shoulder - Angle: 149.00° | Value:   0.66 | Pulse Width: 1893.33µs
[2025-05-11 16:12:29] shoulder - Angle: 147.00° | Value:   0.63 | Pulse Width: 1880.00µs
[2025-05-11 16:12:29] shoulder - Angle: 144.00° | Value:   0.60 | Pulse Width: 1860.00µs
[2025-05-11 16:12:29] shoulder - Angle: 143.00° | Value:   0.59 | Pulse Width: 1853.33µs
[2025-05-11 16:12:29] shoulder - Angle: 140.00° | Value:   0.56 | Pulse Width: 1833.33µs
[2025-05-11 16:12:29] shoulder - Angle: 131.00° | Value:   0.46 | Pulse Width: 1773.33µs
[2025-05-11 16:12:29] shoulder - Angle: 126.00° | Value:   0.40 | Pulse Width: 1740.00µs
[2025-05-11 16:12:29] shoulder - Angle: 125.00° | Value:   0.39 | Pulse Width: 1733.33µs
[2025-05-11 16:12:29] shoulder - Angle: 121.00° | Value:   0.34 | Pulse Width: 1706.67µs
[2025-05-11 16:12:29] shoulder - Angle: 117.00° | Value:   0.30 | Pulse Width: 1680.00µs
[2025-05-11 16:12:29] shoulder - Angle: 111.00° | Value:   0.23 | Pulse Width: 1640.00µs
[2025-05-11 16:12:29] shoulder - Angle: 101.00° | Value:   0.12 | Pulse Width: 1573.33µs
[2025-05-11 16:12:29] shoulder - Angle:  94.00° | Value:   0.04 | Pulse Width: 1526.67µs
